cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2012,7610,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2013,7813,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2014,4043,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2015,3913,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2016,4009,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2017,4164,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2018,4328,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2019,4484,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2020,4624,No especificada
19,Nuevo León,005,Anáhuac,6207048973,Vehículos de motor registrados en circulación,2021,4796,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1980,2517,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1981,3050,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1982,3241,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1983,3910,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1984,4497,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1985,4789,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1986,5008,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1987,5555,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1988,5802,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1989,6849,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1990,8176,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1991,8984,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1992,9547,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1993,17780,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1995,18433,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1996,20153,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1997,22718,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1998,26135,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,1999,31003,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2000,37467,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2001,48457,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2002,58334,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2003,63045,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2004,70252,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2005,77416,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2006,89977,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2007,102069,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2008,108257,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2009,114156,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2010,121199,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2011,131000,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2012,139210,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2013,148994,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2014,154037,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2015,164535,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2016,181722,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2017,199987,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2018,218483,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2019,233851,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2020,246575,No especificada
19,Nuevo León,006,Apodaca,6207048973,Vehículos de motor registrados en circulación,2021,263465,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,1997,905,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,1998,929,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,1999,941,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2000,1119,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2001,1464,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2002,1614,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2003,1725,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2004,1837,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2005,1928,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2006,2116,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2007,2094,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2008,2280,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2009,2436,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2010,2565,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2011,2743,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2012,2862,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2013,2944,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2014,2319,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2015,2366,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2016,2468,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2017,2618,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2018,2767,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2019,2901,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2020,2980,No especificada
19,Nuevo León,007,Aramberri,6207048973,Vehículos de motor registrados en circulación,2021,3129,No especificada
19,Nuevo León,008,Bustamante,6207048973,Vehículos de motor registrados en circulación,1997,511,No especificada
19,Nuevo León,008,Bustamante,6207048973,Vehículos de motor registrados en circulación,1998,530,No especificada
19,Nuevo León,008,Bustamante,6207048973,Vehículos de motor registrados en circulación,1999,508,No especificada
19,Nuevo León,008,Bustamante,6207048973,Vehículos de motor registrados en circulación,2000,592,No especificada
